Product ID,Attribute,Q2 95,Q3 95,Q4 95,Q1 96,Q2 96,Q3 96,Q4 96,Q1 97,Q2 97,Q3 97,Q4 97,Q1 98,Q2 98,Q3 98,Q4 98,Q1 99,Q2 99,Q3 99,Q4 99,Q1 00,Q2 00,Q3 00,Q4 00,Q1 01,Q2 01,Q3 01,Q4 01,Q1 02,Q2 02,Q3 02,Q4 02,Q1 03,Q2 03,Q3 03,Q4 03
21A,Yielded Supply,0.0,3380628047.9689984,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
21A,Safety Stock Target,0.0,679992670.5717602,545315430.298146,479106991.06482095,983931852.1396011,398993213.1640063,132231364.79720487,207997195.50839946,205904100.24823096,423122271.64277,323975730.0763917,301197771.39978284,274919741.00987774,268938559.4800322,384197942.1143317,206875814.98464018,627716745.46,972001279.0600001,491940394.40000004,365608831.98,,,,,,,,,,,,,,,
21A,Safety Stock Target (WOS),0.0,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82
21A,EffectiveDemand,0.0,3920865476.2527657,4857090504.084001,3895110216.4153285,3422192793.3201494,7028084658.140007,2849951522.6000447,944509748.5514634,1485694253.6314247,1470743573.2016497,3022301940.3055,2314112357.688512,2151412652.855592,1963712435.7848408,1920989710.5716586,2744271015.1023693,1477684392.7474298,4483691039.0,6942866279.0,3513859960.0,2611491657.0,1540401888.0,3641157689.0,2129799840.0,3999136982.0,3229493114.0,4841253891.0,2799733837.0,3108651811.0,2338729679.0,5089378170.0,5928392971.0,1690158851.0,2434860447.0,2751263430.0
21A,Total Projected Inventory Balance,141337199.35999998,-398900228.9237671,-5255990733.007768,-9151100949.423096,-12573293742.743244,-19601378400.88325,-22451329923.483295,-23395839672.03476,-24881533925.666183,-26352277498.867832,-29374579439.173332,-31688691796.861843,-33840104449.717434,-35803816885.50227,-37724806596.07393,-40469077611.1763,-41946762003.92373,-46430453042.92373,-53373319321.92373,-56887179281.92373,,,,,,,,,,,,,,,
21A,Inventory Balance in excess of SST,0.0,-1078892899.4955273,-5801306163.305914,-9630207940.487917,-13557225594.882847,-20000371614.047256,-22583561288.2805,-23603836867.54316,-25087438025.914413,-26775399770.5106,-29698555169.249725,-31989889568.261627,-34115024190.72731,-36072755444.98231,-38109004538.18826,-40675953426.16094,-42574478749.38373,-47402454321.98373,-53865259716.32373,-57252788113.90373,,,,,,,,,,,,,,,
22B,Yielded Supply,0.0,1694268282.3394976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22B,Safety Stock Target,0.0,283186617.3041231,396739587.2068459,213027450.18522596,228154867.33611038,272551315.15328914,235712126.79309756,228618627.10814822,203069711.79957214,169041931.49319857,145858376.3124611,37348231.427510895,29466118.228894003,20702458.79896478,20702458.79896476,11147477.81482718,243750504.4670769,143890645.2243077,287263933.9823077,204151490.18492308,,,,,,,,,,,,,,,
22B,Safety Stock Target (WOS),0.0,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561,1.561
22B,EffectiveDemand,0.0,1541047872.0,2358376697.6000004,2312831674.299999,1241864059.3757567,2660101592.2595825,1588864169.055049,1479807074.0373838,1332754328.4331512,1183814463.4055777,2956338712.212891,850295467.2923743,217725115.9451308,171775577.11911303,120686979.5455346,172409970.77933496,92836138.11194961,2029952952.0,1198320556.0,2392332570.0,1700172564.0,2558729191.0,679981194.0,1235318519.0,1051986719.0,2280317814.0,1716153959.0,1043557130.0,2144985258.0,1892232865.0,813031055.0,1963865830.0,1631591332.0,803641152.0,899379883.0
22B,Total Projected Inventory Balance,164824302.72,318044713.0594976,-2040331984.5405028,-4353163658.840502,-5595027718.216259,-8255129310.4758415,-9843993479.530891,-11323800553.568275,-12656554882.001427,-13840369345.407005,-16796708057.619896,-17647003524.91227,-17864728640.8574,-18036504217.976513,-18157191197.52205,-18329601168.301384,-18422437306.413334,-20452390258.413334,-21650710814.413334,-24043043384.413334,,,,,,,,,,,,,,,
22B,Inventory Balance in excess of SST,0.0,34858095.75537443,-80378541.58553304,-363335193.2359594,-405732846.0412923,-419616845.88287544,-415552357.37585926,-436608531.70767224,-433538503.6687923,-436020969.29560417,-436164310.85521173,-444563224.2287887,-431040213.3338441,-412567244.93934304,-351769338.4011926,-18340748646.11621,-18666187810.88041,-20596280903.63764,-21937974748.39564,-24247194874.598255,,,,,,,,,,,,,,,
23C,Yielded Supply,0.0,6610182393.901104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23C,Safety Stock Target,0.0,706503770.3388937,947758578.0083735,1255316127.5691347,1505515703.428649,1245147107.3478353,950490474.8088771,557841858.418099,423382482.23913056,329349303.42925304,299385627.2526903,295325594.98422664,303687636.2484366,226764404.27230918,206098486.8323092,86585754.82304114,992067193.2153845,521726858.9107692,944275576.1092308,1448298453.9430768,,,,,,,,,,,,,,,
23C,Safety Stock Target (WOS),0.0,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42
23C,EffectiveDemand,0.0,4705495605.907281,6467992263.665929,5867076911.480407,6276580637.845675,15055157034.286486,6225735536.739175,5118025633.586262,2789209292.090495,2116912411.1956532,4940239551.43881,1496928136.2634513,1476627974.921133,1518438181.242183,1133822021.3615458,1472132048.8022084,792686487.8165739,9082305290.0,4776372652.0,8644776401.0,13259070353.0,14636965958.0,5009097095.0,3076657109.0,6336835871.0,4869241729.0,2366380350.0,8886117345.0,10960561216.0,9553273310.0,11416542925.0,11288374390.0,3736677684.0,4331513188.0,3669820560.0
23C,Total Projected Inventory Balance,184132359.936,2088819147.929823,-4379173115.736106,-10246250027.216513,-16522830665.062187,-31577987699.34867,-37803723236.087845,-42921748869.6741,-45710958161.764595,-47827870572.96025,-52768110124.39906,-54265038260.66251,-55741666235.58365,-57260104416.82583,-58393926438.18738,-59866058486.989586,-60658744974.80616,-69741050264.80615,-74517422916.80615,-83162199317.80615,,,,,,,,,,,,,,,
23C,Inventory Balance in excess of SST,0.0,1382315377.590929,-5326931693.744479,-11501566154.785648,-18028346368.490837,-32823134806.69651,-38754213710.89672,-43479590728.09221,-46134340644.00372,-48157219876.3895,-53067495751.65176,-54560363855.64674,-56045353871.832085,-57486868821.09814,-58600024925.019684,-59952644241.81263,-61650812168.021545,-70262777123.71692,-75461698492.91539,-84610497771.74922,,,,,,,,,,,,,,,
